BmV18hpi_uninfected_b	BmV18hpi_uninfected_c	BmV4dpi_uninfected_b	BmV4dpi_uninfected_c	BmV8dpi_uninfected_b	BmV8dpi_uninfected_c	BmV18hpi_a	BmV18hpi_b	BmV4dpi_a	BmV4dpi_b	BmV8dpi_a	BmV8dpi_b
AAEL000001	187	231	769	868	1160	1097	726	921	905	755	888	1046
AAEL000002	10	18	20	177	29	159	7	2	32	12	47	68
AAEL000003	803	1074	1114	2154	2795	2710	1960	2214	3470	2985	3200	3740
AAEL000004	327	303	648	1306	895	882	942	874	864	644	714	846
AAEL000005	136	137	647	1516	539	1183	112	229	612	160	163	222
AAEL000006	12264	9731	1940	5118	2653	3169	8348	8479	1157	270	874	604
AAEL000007	0	0	1	5	0	10	0	0	7	0	0	0
AAEL000008	972	873	1072	2026	2195	1665	678	729	1088	840	909	1076
AAEL000009	0	0	1	1	0	0	0	2	0	0	0	0
AAEL000010	7846	6897	5705	7677	26236	15093	19385	18444	20858	21087	20612	29828
AAEL000011	0	0	0	2	7	0	0	0	0	0	5	9
AAEL000012	0	0	0	7	3	16	0	0	0	0	0	7
AAEL000013	161	161	240	453	417	523	267	150	341	258	279	291
AAEL000014	20	25	25	89	30	27	5	9	14	7	14	53
AAEL000015	2179	2287	2673	4661	4913	3347	1411	1400	1849	1550	1667	1856
AAEL000016	172	169	408	680	888	856	437	370	681	457	457	606
AAEL000017	0	4	9	3	10	0	10	3	17	8	2	1
AAEL000018	0	0	0	0	0	0	0	0	1	0	3	0
AAEL000019	2120	1828	1258	2171	12988	4077	4741	4846	7731	5867	16433	25507
AAEL000020	745	740	580	1053	1789	1094	775	891	1006	779	959	1399
AAEL000021	6	10	0	2	3	0	38	12	0	3	0	0
AAEL000022	158	173	255	385	588	490	281	233	476	463	403	591
AAEL000023	1	0	24	51	6	37	0	2	23	0	0	18
AAEL000024	865	397	353	413	1654	951	817	758	608	1182	817	885
AAEL000025	19	30	0	0	0	0	38	34	0	0	0	0
AAEL000026	40	45	203	345	163	410	129	132	237	111	111	150
AAEL000027	0	0	0	0	1	0	0	0	0	0	0	0
AAEL000028	6078	6576	4370	4499	12193	11073	6801	6015	7278	6955	12791	11571
AAEL000029	1	2	2	2	17	6	0	0	3	0	0	0
AAEL000031	0	0	0	1	0	0	0	0	0	0	1	0
AAEL000032	99594	104367	87887	117845	318324	165900	107909	96889	126599	132398	109601	135132
AAEL000033	50	61	272	716	278	466	144	102	241	106	147	206
AAEL000034	57	45	139	393	129	151	176	134	229	102	150	192
