agss_BmV18hpi_a	agss_BmV18hpi_b	agss_BmV4dpi_a	agss_BmV4dpi_b	agss_BmV8dpi_a	agss_BmV8dpi_b	polyAd_Bm1dpi_a	polyAd_Bm1dpi_b	polyAd_Bm2dpi_a	polyAd_Bm2dpi_b	polyAd_Bm3dpi_a	polyAd_Bm3dpi_b	polyAd_Bm4dpi_a	polyAd_Bm4dpi_b	polyAd_Bm8dpi_a	polyAd_Bm8dpi_b	polyAd_Bm20dpiM_a	polyAd_Bm20dpiM_b	agss_Bm24dpiF_a	polyAd_Bm24dpiF_a	polyAd_Bm24dpiF_b	polyAd_BmAM_a	polyAd_BmAM_b	polyAd_BmAF_a	agss_BmAF_b	polyAd_BmAF_b	agss_BmAF_c	polyAd_BmAF_c	polyAd_BmAF_d	polyAd_BmEm_a	polyAd_BmEm_b	polyAd_BmIMF_a	polyAd_BmIMF_b	polyAd_BmMMF_a	polyAd_BmMMF_b
gene0	2600.38107463632	5138.00970388659	1722.27836110315	1689.32100279541	2286.91421986487	1884.12893112716	691.932679846247	678.634312590292	444.827488715418	1678.15988726427	1598.28567029175	1883.03865267713	1905.52624041998	1948.47682981214	2016.67018626935	1757.65566248056	2184.41302679111	2832.11673938132	3392.52647942721	3064.50412772016	2675.31380413999	1437.44066910196	1526.15099471057	2878.9272403798	2737.9796848035	1494.40213192831	3263.6319679828	2038.99149926793	2257.15775700436	3300.86300358524	3767.91506287393	1372.37798098429	1769.2403948355	2588.69371075143	2357.82895672568
gene1	1323.43752121663	1838.08895167279	1500.54899449526	1490.22661796202	1735.69428479306	2034.21846977479	1789.0180494338	1983.20735098862	1839.73616465517	2438.56054868998	1751.67393450961	1670.98797577197	1539.54965118922	1635.06382565834	1334.08500382079	1314.06763114809	1397.78747139381	1247.28310776451	1625.83737102735	1522.85712360568	1538.44464840753	1731.92753224744	1531.83913973575	1783.00654586194	1549.70524465022	1902.70625516406	1318.19448144546	686.926322057064	1260.31241486343	2377.63624339285	1315.02621688837	1849.96470413593	1834.10104701835	1903.51364955291	1213.95186666796
gene100	605.929549634918	144.79429169731	1115.37138146823	663.761192358883	868.859692290168	1033.8126437581	638.628609255739	883.883222785449	545.170518512256	559.283516345399	729.373411032714	583.685937227924	729.667622063223	611.023609366973	615.682305017176	574.29134948209	565.476767998525	745.505406485268	442.160016971942	551.146878633762	465.476478452563	648.416549588568	736.324985537886	1125.77949349635	662.870696543388	522.360689905195	524.936946699488	838.303265881308	710.010218076118	225.349181755157	1182.9248840764	682.82148086633	421.258729713966	1015.3897352097	877.858631405674
gene1000	3731.74509487598	2916.35607075782	3117.43125421593	2337.66097963794	2040.47234629961	2477.72510691457	1700.63810398919	1443.4829193445	1472.36603423637	1607.56054396839	1585.45104001611	1696.55377073592	1849.50800570396	1801.19060010839	2137.26554666696	1839.50016411965	2162.61918640245	2226.00604221253	1834.93359608274	2018.56427633769	1789.2642935251	917.76353048722	1056.13068711521	1562.59518200642	1488.64978040025	845.497831661439	1405.97172552844	2152.7460796468	1154.60492623062	1866.90851209563	1216.27604062124	2156.31631197471	1811.23041145646	1889.23671455753	2754.88093658127
gene1001	686.035043014086	87.908388630391	0	4.29178882206775	7.604012694027	127.321754808338	255.982370099539	247.966945926964	58.2279524476289	417.910609684349	286.26295739882	188.608156509012	241.241316322462	201.410737367907	234.901927435202	245.850322061223	163.71599176438	113.551702119923	114.65996456408	84.9905905945174	201.817518568425	0	0	0	92.0254687814759	188.935788856986	172.167838788596	0	0	0	253.670942213395	199.88227443338	181.686759522233	129.295335247939	321.792817689262
gene1002	0	0	0	0	0	0	56.0949020897138	0	126.160563636529	55.6884628714016	34.0361136124878	94.7072653795803	87.520105456521	67.6395562764609	56.7402583609715	18.1879824166857	68.3160558226671	43.8695574926291	2.25185768878059	80.677603144707	0	180.82865272801	0	0	7.48009771813789	0	0	0	31.9249198775233	0	0	138.243701135205	0	49.5591989544396	0
gene1004	0	0	0	0	0	0	384.9307541828	441.445926588712	217.902272825388	355.50822710286	152.736665534445	257.886827000269	382.179141821813	201.369982463543	402.226275716967	280.365814061464	117.329794097805	453.437167120171	0	341.317565417162	288.645985859492	148.746149824654	598.262003309411	610.611844290411	0	18.238850904511	0	430.243813742777	305.742501903973	0	151.069543749913	370.126832312845	426.693422976032	173.356874075449	377.055110088786
gene1005	135.840274768413	637.691154508554	361.144158856324	445.161620962103	574.24962575261	719.773697630187	731.884368360058	646.722149477438	924.114025487075	869.757588926143	528.533161092968	482.643601381815	576.838998323379	573.717777258633	516.693949661112	537.302928675568	272.290585620016	241.199823196406	260.678362251747	337.028622010653	376.960427858038	115.270053869336	176.160909455034	75.7450879509959	188.285385723371	402.37519538143	216.340348026616	129.821837627523	0	229.019587107976	471.538058827586	480.209443457898	318.494544823945	560.333199976634	429.626810342729
gene1006	167.816633125735	387.605076773373	1041.22245370274	556.639500493294	986.310834911185	1348.41964250091	877.537160260526	767.439638775467	1208.90475955143	851.955332842136	1297.31789084863	1220.20844622923	1036.38673140984	1244.36068308109	1171.69797706359	1175.84678791415	1489.72422055594	1312.90415375167	545.954872654139	1652.58900328876	1428.16790331687	1372.29556030599	1408.38425652822	1489.89746837942	527.642449729481	3052.78928788207	521.943579176868	1136.47560749964	3295.6008506	913.577763872256	569.598528047601	400.304771230094	820.363834802096	589.803815266605	822.451211053377
gene1008	1558.80236518941	1004.11781319255	834.862974058163	2343.4636644467	1026.61452145282	1066.06975919911	1025.66377829856	1177.10408318509	793.792764101544	889.552669581826	717.248833199742	580.833610426992	664.48191564376	929.226133421532	754.849037434472	773.590484924992	722.38873244122	564.774092659922	685.788971622904	748.706709246165	937.997340872304	877.879715808745	704.862722264398	888.053995298151	600.855287722997	286.83929422509	382.143464087506	615.049332109357	1253.94856026252	1124.84124290729	1308.1517101837	804.136260478601	496.377136347956	767.519942400545	1161.11646694134
gene1009	447.051452161886	738.510484463794	419.779735839719	809.993496368626	582.050743201837	584.194611490112	997.107555055685	800.242769640995	1083.37248631105	950.300207829315	619.482062898691	924.573583579053	854.585853645385	877.874288159021	1096.54677165735	1061.96398511786	612.39329508545	833.317547906499	564.573028455198	1134.45892360064	1270.09389352682	822.722890521258	881.991493766748	1013.85053112985	499.135585282807	1504.23862436646	446.056597656806	516.543192895789	599.594541699716	1094.31596666273	1240.91333832341	641.350751984875	679.574930623353	699.064954338589	817.736350780556
gene101	604.515294273617	0	0	0	2.30323555524914	41.8800990851584	78.5172840993891	50.6244725168342	211.129974845865	0	26.8222826432027	7.6979564161878	37.5086166242233	78.442284659084	22.7446386291749	39.0466604834091	54.4329136937146	16.1299484924715	37.4446345536236	54.8734526331954	6.03380807617582	70.9840781267609	0	312.581841825941	37.9139037187705	0	44.6938521653263	0	0	346.461404106903	0	106.4411595595	0	149.713600874079	117.123273085068
gene1012	12.8523682858224	8.27916807973752	109.387834996787	0	245.329312218936	66.5464678007264	21.215296611164	24.8434496055142	0	0	6.05026708497709	3.19997017300547	101.867663728082	0	0	0	1.10762835958206	39.9708824091599	36.7261327089116	103.477845167618	80.1893992550007	0	0	0	54.7050988392388	0	62.8595259305452	0	96.2981189748243	0	0	83.6009267338579	81.3733010406486	11.6992207367857	0
gene1013	16.5924754589453	1297.6691742484	889.698917933836	991.212164072668	1080.8732604308	675.224175442229	0	57.6598176948493	0	333.92350007132	23.3345139574149	30.0143438915341	11.6962352914245	91.8799598776014	8.45210401526378	0	61.6806076498877	18.4713926284754	72.4486620713194	70.3081834751324	53.6442696320886	69.9981881527781	0	0	1877.71243634591	833.103641315728	1152.41028567553	169.811600111001	1079.2682590853	40.4851212830647	467.21911312977	493.515148138581	365.87798598551	577.343632505573	0
gene1014	1415.01736878916	1662.15227702596	2054.30422384706	1715.49528742921	2692.67196930128	2553.83309603077	704.766869026642	1033.14861345631	955.860413004741	1583.98550300249	2025.86884928644	1672.97853946244	1336.57370953943	1405.08303690059	1225.81772990809	1233.17307029244	1581.28096436586	2057.56536767113	2405.00519125214	2304.26644100203	2197.7718065625	2722.83618822553	2760.98446861725	3849.47736240691	3968.2483780034	2569.586589299	5118.28679607855	4290.79951160477	3141.41211594829	1096.84809654292	1792.38978007813	996.66540326572	2272.48071381912	1043.28478243593	1595.60724127803
gene1015	2323.0240991844	1797.44563566717	1362.25609298922	1177.52837239307	1037.36372628579	1113.39925298728	880.786690887666	1062.27700147786	959.115967685853	958.74935139214	844.627180359436	806.682325132518	815.082103620777	662.707882127224	692.100247116553	735.311304644511	1011.04886004331	1025.8959676904	1303.45121055539	1136.22014053871	844.434644279538	1169.60757610886	1138.27529192865	1566.51567238525	1433.57035610718	852.112295996734	1661.13423241979	1365.3368431822	1222.24704932966	1222.58760181198	953.044100652195	1013.28469829994	1163.99278713931	1410.89408250167	977.794300996272
