agss_BmV18hpi_a	agss_BmV18hpi_b	agss_BmV4dpi_a	agss_BmV4dpi_b	polyAs_BmV4dpi_a	polyAs_BmV4dpi_b	agss_BmV8dpi_a	agss_BmV8dpi_b	polyAs_BmV8dpi_a	polyAs_BmV8dpi_b	polyAs_BmViL3_a	polyAs_BmViL3_b	polyAs_Bm1dpi_a	polyAs_Bm1dpi_b	polyAs_Bm2dpi_a	polyAs_Bm2dpi_b	polyAs_Bm3dpi_a	polyAs_Bm3dpi_b	polyAs_Bm4dpi_a	polyAs_Bm4dpi_b	polyAs_Bm8dpi_a	polyAs_Bm8dpi_b	polyAs_Bm20dpiM_a	polyAs_Bm20dpiM_b	polyAs_Bm24dpiF_a	polyAs_Bm24dpiF_b	polyAs_BmAM_a	polyAs_BmAM_b	polyAs_BmAF_a	polyAs_BmAF_b	polyAs_BmAF_c	polyAs_BmAF_d	polyAs_BmEm_a	polyAs_BmEm_b	polyAs_BmIMF_a	polyAs_BmIMF_b	polyAs_BmMMF_a	polyAs_BmMMF_b
Gene:WBGene00220262	0	16	0	2	0	0	7	9	1	0	18	13	0	1	0	0	6	17	5	9	2	1	6	6	5	4	1005	821	4	5	6	9	8	9	2	1	1	1
Gene:WBGene00220263	5772	8646	14910	13137	404	433	16810	20811	1045	932	10140	12224	3455	4915	2710	8231	7078	8200	6745	5951	6223	5364	7948	7926	6916	8581	16327	14080	26242	27218	23935	24671	31073	31241	6636	6093	15781	3733
Gene:WBGene00220265	0	0	10	0	0	0	32	9	8	3	11	12	1	0	0	1	1	8	4	3	3	3	8	1	0	0	131	140	253	363	207	298	618	789	40	11	54	7
Gene:WBGene00220269	0	0	7	0	7	0	18	15	61	44	788	1026	72	107	38	75	189	245	176	131	118	130	211	274	190	184	229	236	214	140	148	161	379	467	57	50	116	35
Gene:WBGene00220275	643	754	21	27	0	0	42	93	18	5	0	0	6	5	2	2	16	22	4	4	6	8	15	19	9	3	4	8	5	3	1	3	7	9	19	9	10	8
Gene:WBGene00220276	3280	2105	7384	6363	256	322	6695	7368	788	497	2904	3059	350	712	425	680	2310	2751	2218	2002	1223	1515	1865	1988	1606	2372	2199	1962	2367	2600	2048	2644	2249	2260	316	361	552	246
Gene:WBGene00220277	2	2	21	28	1	5	1273	1685	228	265	0	0	0	0	0	2	1	1	4	2	0	6	76	43	43	59	2	6	23	33	14	0	53	36	0	0	1	0
Gene:WBGene00220278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	7	0	0	0	8	11	1	1	2	3	2	1	1	0	1	0
Gene:WBGene00220280	2234	2643	8584	7466	425	459	17442	21241	1985	1995	15044	13488	1640	2058	1277	2198	5786	6953	5242	3976	4141	4867	4312	6208	5468	6102	5770	5968	2592	3377	2357	3386	3678	3627	931	642	1529	470
Gene:WBGene00220281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	805	727	0	0	0	0	0	0	0	0	0	0
Gene:WBGene00220284	0	0	5	0	0	0	4	11	0	6	0	0	1	0	0	5	0	6	1	1	2	1	12	6	8	1	2	4	1	0	1	5	4	2	0	0	0	0
Gene:WBGene00220288	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Gene:WBGene00220289	19	13	4	6	10	17	9	7	29	43	17	3	1211	846	1273	13278	99	223	80	69	85	141	447	538	500	455	202	239	190	149	224	317	146	211	61	110	556	2886
Gene:WBGene00220294	100	44	147	135	6	10	165	202	33	32	445	461	423	2	641	5	60	82	31	25	40	56	105	138	110	136	188	176	121	85	118	138	94	64	80	18	203	9
Gene:WBGene00220302	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Gene:WBGene00220303	7285	6844	1522	1117	42	74	174	253	44	25	24	43	1	5	3	3	9	4	1	5	2	5	9	2	15	15	9	16	57	73	49	57	53	95	33	17	29	30
Gene:WBGene00220306	98	132	143	182	18	9	7932	9427	1162	1026	14247	12950	2716	4429	2609	3272	8742	11755	4824	4241	2927	3558	4880	5665	6902	4869	1112	1002	708	733	518	763	593	720	363	115	487	51
Gene:WBGene00220308	2	8	87	104	11	12	1549	1782	321	251	622	707	147	163	108	89	230	206	201	128	468	417	174	194	130	211	107	72	112	164	90	165	190	213	125	75	180	17
Gene:WBGene00220309	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	175	181	0	0	0	0	0	0	0	0	0	0
Gene:WBGene00220310	40	64	345	276	73	94	788	855	545	345	2944	2622	202	239	135	256	559	824	728	652	183	223	107	101	125	117	125	128	118	121	104	144	279	336	176	112	178	104
Gene:WBGene00220316	0	0	4	0	0	0	9	18	2	2	7	1	0	0	0	1	0	5	0	0	2	6	0	5	5	10	1	0	10	6	2	10	2	8	1	2	1	1
Gene:WBGene00220317	0	1	175	104	2	5	665	791	103	119	223	328	28	17	14	41	185	199	291	212	622	388	1073	1158	900	1155	878	762	169	123	137	197	13	2	23	6	27	11
Gene:WBGene00220320	437	407	1843	1612	74	107	2192	2626	337	297	772	798	411	651	349	715	882	1158	974	777	1852	1532	1290	1477	1174	1266	2019	1707	3392	3769	2614	3373	3111	3181	472	308	701	238
Gene:WBGene00220321	0	0	6	9	1	0	138	197	28	17	109	113	70	35	22	85	126	229	71	48	445	350	271	331	350	580	192	199	566	572	457	441	356	323	10	10	7	8
Gene:WBGene00220328	0	0	53	55	1	3	51	30	0	2	0	4	0	1	0	0	3	5	6	9	14	12	47	47	4	1	1552	1445	7	5	3	3	5	12	2	3	5	3
Gene:WBGene00220335	0	1	135	153	5	1	1529	1930	137	162	339	414	41	97	30	92	133	160	99	94	191	142	302	431	432	458	1139	914	145	152	129	175	299	347	23	7	29	3
Gene:WBGene00220337	2	1	0	4	0	0	572	651	398	302	5438	5886	149	209	153	97	432	672	568	387	440	463	123	231	177	221	57	26	167	127	101	118	10	10	31	17	20	3
Gene:WBGene00220341	71	122	153	191	2	16	612	774	83	66	246	354	13	36	26	45	93	192	149	119	217	180	183	225	178	174	1322	1077	594	540	473	473	511	681	79	65	141	39
Gene:WBGene00220346	0	0	2	0	5	6	0	0	3	3	12	4	0	4	0	0	4	0	2	3	4	3	4	1	3	0	6693	6919	12	20	12	13	19	24	1	6	8	2
Gene:WBGene00220348	43	0	7	1	0	0	23	9	6	2	36	15	4	4	8	4	23	19	3	4	13	10	10	18	10	19	34	34	37	41	28	23	59	56	21	31	27	6
Gene:WBGene00220352	750	745	1638	1387	72	122	1394	1705	337	215	1441	1426	520	884	502	754	1295	1666	1316	1295	1418	1344	1127	1191	1146	1482	969	809	1073	1000	870	1024	1504	1533	456	300	575	173
Gene:WBGene00220355	64	32	241	202	21	3	64	52	0	34	31	34	14	30	12	25	103	102	122	132	80	87	217	206	178	308	342	317	655	756	554	707	883	979	7	6	9	7
