BmV18hpi_uninfected_b	BmV18hpi_uninfected_c	BmV4dpi_uninfected_b	BmV4dpi_uninfected_c	BmV8dpi_uninfected_b	BmV8dpi_uninfected_c	BmV18hpi_a	BmV18hpi_b	BmV4dpi_a	BmV4dpi_b	BmV8dpi_a	BmV8dpi_b	mergedColors	inverted
AAEL000001	7.90559146226826	9.02276136812269	37.3187396676804	31.6074728621894	20.21956854975	28.9364987193238	24.9841169842924	33.5769534087794	28.412663654116	23.8487297534913	32.03129902437	33.8952648829098	brown	TRUE
AAEL000003	25.7891009534717	31.8683566493308	41.0689609515001	59.5859192187685	37.0103850328337	54.3045901286157	51.240263142555	61.3178855358251	82.7600495093374	71.6292711558445	87.687857764833	92.0676050061762	magenta	FALSE
AAEL000004	8.54939851319247	7.31922617459891	19.4478090648999	29.410897200273	9.64788188706986	14.3880847110717	20.0481052900563	19.7055308179491	16.7753720617247	12.5805380535236	15.9277652201821	16.9540226234955	turquoise	FALSE
AAEL000005	3.60478647118054	3.35502633731097	19.6857871146173	34.6112373008111	5.890477959732	19.5646450443015	2.41653606934132	5.23437719667223	12.0465494660522	3.16873673370391	3.68635423245178	4.51032874159691	turquoise	FALSE
AAEL000006	127.730045266692	93.6382152270353	23.1937259660397	45.9132983854563	11.3925071095116	20.5934806369746	70.7746919393846	76.1543045371008	8.94880188020302	2.10111695876756	7.76678318812796	4.82183615996827	brown	FALSE
AAEL000008	33.5231106946558	27.8180715879384	42.4405202553061	60.1859021581936	31.2128700912293	35.8293456170646	19.0345390031244	21.6817569329801	27.8661872831957	21.6462600680009	26.749197320474	28.4449322799638	turquoise	FALSE
AAEL000010	418.902024247243	340.21942927957	349.645281245302	353.047372255442	577.541120997283	502.789638954314	842.489668116731	849.196441506262	827.003653878687	841.210128143198	938.973020763653	1220.68294351387	magenta	FALSE
AAEL000015	20.1277273396653	19.5181389539274	28.3429034027295	37.0846257774094	18.711362328762	19.2903370116166	10.609603337791	11.1520431958951	12.6836728454781	10.6978067480103	13.1383835227898	13.1410500355979	turquoise	FALSE
AAEL000016	11.7855356211937	10.6989784574811	32.0914180843274	40.1335039231565	25.0873609149381	36.5966417696939	24.3745685998095	21.8630877999968	34.6528213718556	23.3971315940342	26.7181204255608	31.8279076110331	turquoise	FALSE
AAEL000019	320.953987823552	255.692410316251	218.62278569948	283.102709704049	810.718958829222	385.118355944357	584.267182915839	632.672884908009	869.186952637632	663.664432215669	2122.71943130448	2959.926207465	magenta	FALSE
AAEL000020	17.316011654185	15.8912495220928	15.47488597824	21.081293536985	17.1444308125415	15.8655638420119	14.6631717752279	17.8590436025112	17.3644162296847	13.528654136083	19.0186212140627	24.9243532492196	magenta	FALSE
AAEL000021	0.195497814952108	0.301040819705575	0	0.0561303745952732	0.0403025983177776	0	1.00788011534123	0.337179218903935	0	0.0730360793444599	0	0	brown	FALSE
AAEL000022	12.1935122033868	12.3353808854305	22.5901845154457	25.5923253009005	18.7098450339802	23.5946968951176	17.6527622969261	15.5065987144589	27.2803094937313	26.6979712481318	26.5366197544574	34.9601910924362	magenta	FALSE
AAEL000025	0.478693643970376	0.698328947960196	0	0	0	0	0.779331588436643	0.738706420925781	0	0	0	0	brown	FALSE
AAEL000028	375.16533346685	375.023550035069	309.635901314772	239.196756470353	310.308529598565	426.455674677768	341.719217696846	320.174348218694	333.614306864429	320.763304985431	673.651574978841	547.453814028199	magenta	FALSE
AAEL000033	1.56686865674514	1.76614824588385	9.78451628305366	19.3264860973601	3.59193541128546	9.11160948001682	3.67332795515459	2.7564597636783	5.60854542138119	2.48195551808668	3.93050857901572	4.94816753789473	turquoise	FALSE
AAEL000035	0.613869090176863	0.425374802090822	0	0	1.13896247026815	1.34057279815051	1.24925299083692	1.5881295173489	0.341906722243581	1.83468409969706	3.40453613288148	4.82296619807767	magenta	FALSE
AAEL000037	69.7424431036238	74.2185540680992	32.9276723128499	22.1095849283197	44.6938468987735	113.493587579685	82.5268880996227	113.916297586467	88.8656900495075	145.246244587761	330.989693530768	377.885412552868	magenta	FALSE
