time	wavelength	drug	concentration	absorbance
6 hr	490	JQ1(+)	100 uM	0.216
6 hr	490	JQ1(+)	100 uM	0.386
6 hr	490	JQ1(+)	10 uM	0.359
6 hr	490	JQ1(+)	10 uM	0.27
6 hr	490	JQ1(+)	7.5 uM	0.505
6 hr	490	JQ1(+)	7.5 uM	0.55
6 hr	490	JQ1(+)	5 uM	0.639
6 hr	490	JQ1(+)	5 uM	0.541
6 hr	490	JQ1(+)	2.5 uM	0.582
6 hr	490	JQ1(+)	2.5 uM	0.288
6 hr	490	JQ1(+)	1 uM	0.737
6 hr	490	JQ1(+)	1 uM	0.689
6 hr	530	JQ1(+)	100 uM	0.306
6 hr	530	JQ1(+)	100 uM	0.676
6 hr	530	JQ1(+)	10 uM	0.685
6 hr	530	JQ1(+)	10 uM	0.385
6 hr	530	JQ1(+)	7.5 uM	0.821
6 hr	530	JQ1(+)	7.5 uM	0.793
6 hr	530	JQ1(+)	5 uM	0.984
6 hr	530	JQ1(+)	5 uM	0.898
6 hr	530	JQ1(+)	2.5 uM	0.943
6 hr	530	JQ1(+)	2.5 uM	0.487
6 hr	530	JQ1(+)	1 uM	1.101
6 hr	530	JQ1(+)	1 uM	0.896
6 hr	490	JQ1(-)	100 uM	0.77
6 hr	490	JQ1(-)	100 uM	0.45
6 hr	490	JQ1(-)	10 uM	0.909
6 hr	490	JQ1(-)	10 uM	0.839
6 hr	490	JQ1(-)	7.5 uM	0.767
6 hr	490	JQ1(-)	7.5 uM	0.932
6 hr	490	JQ1(-)	5 uM	0.936
6 hr	490	JQ1(-)	5 uM	1.069
6 hr	490	JQ1(-)	2.5 uM	0.917
6 hr	490	JQ1(-)	2.5 uM	NA
6 hr	490	JQ1(-)	1 uM	1.074
6 hr	490	JQ1(-)	1 uM	0.822
6 hr	530	JQ1(-)	100 uM	0.991
6 hr	530	JQ1(-)	100 uM	0.668
6 hr	530	JQ1(-)	10 uM	1.279
6 hr	530	JQ1(-)	10 uM	1.078
6 hr	530	JQ1(-)	7.5 uM	1.129
6 hr	530	JQ1(-)	7.5 uM	1.328
6 hr	530	JQ1(-)	5 uM	1.201
6 hr	530	JQ1(-)	5 uM	1.381
6 hr	530	JQ1(-)	2.5 uM	1.314
6 hr	530	JQ1(-)	2.5 uM	NA
6 hr	530	JQ1(-)	1 uM	1.375
6 hr	530	JQ1(-)	1 uM	1.122
6 hr	490	DMSO	NA	0.543
6 hr	490	DMSO	NA	0.741
6 hr	530	DMSO	NA	0.754
6 hr	530	DMSO	NA	0.983
6 hr	490	Dead	NA	0.285
6 hr	530	Dead	NA	0.496
24 hr	490	JQ1(+)	100 uM	0.003
24 hr	490	JQ1(+)	100 uM	0.072
24 hr	490	JQ1(+)	10 uM	0.035
24 hr	490	JQ1(+)	10 uM	NA
24 hr	490	JQ1(+)	7.5 uM	1.561
24 hr	490	JQ1(+)	7.5 uM	0.841
24 hr	490	JQ1(+)	5 uM	0.721
24 hr	490	JQ1(+)	5 uM	0.966
24 hr	490	JQ1(+)	2.5 uM	0.75
24 hr	490	JQ1(+)	2.5 uM	0.837
24 hr	490	JQ1(+)	1 uM	2.026
24 hr	490	JQ1(+)	1 uM	1.162
24 hr	530	JQ1(+)	100 uM	0.008
24 hr	530	JQ1(+)	100 uM	0.082
24 hr	530	JQ1(+)	10 uM	0.041
24 hr	530	JQ1(+)	10 uM	NA
24 hr	530	JQ1(+)	7.5 uM	1.592
24 hr	530	JQ1(+)	7.5 uM	0.938
24 hr	530	JQ1(+)	5 uM	0.741
24 hr	530	JQ1(+)	5 uM	1.05
24 hr	530	JQ1(+)	2.5 uM	0.772
24 hr	530	JQ1(+)	2.5 uM	0.883
24 hr	530	JQ1(+)	1 uM	2.146
24 hr	530	JQ1(+)	1 uM	1.311
24 hr	490	IVM	100 uM	0.178
24 hr	490	IVM	100 uM	1.177
24 hr	490	DMSO	NA	0.827
24 hr	490	DMSO	NA	0.624
24 hr	490	DMSO	NA	0.869
24 hr	490	DMSO	NA	0.643
24 hr	490	JQ1(-)	100 uM	-0.007
24 hr	490	JQ1(-)	100 uM	0.016
24 hr	490	JQ1(-)	10 uM	1.383
24 hr	490	JQ1(-)	10 uM	1.479
24 hr	490	JQ1(-)	7.5 uM	1.417
24 hr	490	JQ1(-)	7.5 uM	1.324
24 hr	490	JQ1(-)	5 uM	1.296
24 hr	490	JQ1(-)	5 uM	1.428
24 hr	490	JQ1(-)	2.5 uM	1.483
24 hr	490	JQ1(-)	2.5 uM	1.354
24 hr	490	JQ1(-)	1 uM	1.529
24 hr	490	JQ1(-)	1 uM	1.202
24 hr	530	JQ1(-)	100 uM	-0.002
24 hr	530	JQ1(-)	100 uM	0.02
24 hr	530	JQ1(-)	10 uM	1.454
24 hr	530	JQ1(-)	10 uM	1.845
24 hr	530	JQ1(-)	7.5 uM	1.609
24 hr	530	JQ1(-)	7.5 uM	1.704
24 hr	530	JQ1(-)	5 uM	1.417
24 hr	530	JQ1(-)	5 uM	1.789
24 hr	530	JQ1(-)	2.5 uM	1.657
24 hr	530	JQ1(-)	2.5 uM	1.676
24 hr	530	JQ1(-)	1 uM	1.614
24 hr	530	JQ1(-)	1 uM	1.348
24 hr	530	DMSO	NA	0.869
24 hr	530	DMSO	NA	0.643
