term	clusteroccurences	genomeoccurences	pvalue	correctedpvalue	oddsratio	module	invert
No InterPro entry	356	3947	1.35908024201324e-17	7.48581397300893e-14	0.58823691582455	turquoise	FALSE
GO:0006270: DNA replication initiation	7	7	5.04545864823194e-07	0.000299700243704977	Inf	turquoise	FALSE
GO:0006260: DNA replication	16	33	5.42070738297641e-07	0.000321990018548799	6.57347303739233	turquoise	FALSE
GO:0005634: nucleus	55	224	7.38542403668663e-07	0.000172080380054798	2.30019194244301	turquoise	FALSE
GO:0003677: DNA binding	66	286	7.90786490131535e-07	0.00060257930548023	2.12605540117449	turquoise	FALSE
IPR001208: MCM domain	6	6	4.0109703146515e-06	0.0220924244931005	Inf	turquoise	FALSE
IPR018525: Mini-chromosome maintenance, conserved site	6	6	4.0109703146515e-06	0.0220924244931005	Inf	turquoise	FALSE
IPR027925: MCM N-terminal domain	6	6	4.0109703146515e-06	0.0220924244931005	Inf	turquoise	FALSE
IPR031327: Mini-chromosome maintenance protein	6	6	4.0109703146515e-06	0.0220924244931005	Inf	turquoise	FALSE
IPR033762: MCM OB domain	6	6	4.0109703146515e-06	0.0220924244931005	Inf	turquoise	FALSE
GO:0042555: MCM complex	6	6	4.0109703146515e-06	0.0009345560833138	Inf	turquoise	FALSE
IPR006671: Cyclin, N-terminal	9	14	8.77348752098119e-06	0.0483243692655644	12.5236739247007	turquoise	FALSE
GO:0006355: regulation of transcription, DNA-templated	54	246	3.78417997042443e-05	0.0224780290243211	1.98211504531166	turquoise	FALSE
GO:0008270: zinc ion binding	73	364	5.34840624866665e-05	0.0407548556148399	1.77406486995278	turquoise	FALSE
GO:0006811: ion transport	7	93	4.00205113743623e-05	0.0237721837563712	8.45796268968097	turquoise	TRUE
IPR000535: Major sperm protein (MSP) domain	29	33	5.77523840185342e-23	3.18100131174086e-19	53.4146197700098	blue	FALSE
IPR008962: PapD-like	29	35	1.79220156300715e-21	9.87144620904338e-18	35.5584464618112	blue	FALSE
No InterPro entry	633	3947	4.66923262046e-19	2.57181332734937e-15	1.67512469011518	blue	FALSE
GO:0004672: protein kinase activity	85	274	4.88484958454699e-17	3.72225538342481e-14	3.3863270525657	blue	FALSE
IPR000719: Protein kinase domain	84	271	7.93888372140762e-17	4.37273715375132e-13	3.380458974265	blue	FALSE
GO:0006468: protein phosphorylation	85	276	7.99668104429942e-17	4.75002854031386e-14	3.35026084458955	blue	FALSE
IPR011009: Protein kinase-like domain	90	302	1.02936407141236e-16	5.66973730533928e-13	3.20131268598868	blue	FALSE
IPR006186: Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase	23	33	2.13257816570432e-14	1.17462405366994e-10	16.8450186811143	blue	FALSE
No GO terms for molecular function	939	6656	1.96224280995626e-13	1.49522902118667e-10	1.53204047480979	blue	FALSE
IPR000242: PTP type protein phosphatase	23	40	8.71128451707316e-12	4.7981755120039e-08	9.90611590737922	blue	FALSE
No GO terms for cellular component	1286	9879	4.42330723968078e-11	1.03063058684562e-08	1.74199619079468	blue	FALSE
IPR029052: Metallo-dependent phosphatase-like	24	47	9.11310964756213e-11	5.01950079387722e-07	7.64044807677114	blue	FALSE
IPR004843: Calcineurin-like phosphoesterase domain, ApaH type	23	44	1.21418941378455e-10	6.6877552911253e-07	8.01519891133473	blue	FALSE
GO:0004725: protein tyrosine phosphatase activity	27	59	1.55179590585411e-10	1.18246848026083e-07	6.18604166942286	blue	FALSE
IPR003595: Protein-tyrosine phosphatase, catalytic	22	41	1.57411895149249e-10	8.67024718482063e-07	8.46919659848369	blue	FALSE
IPR001245: Serine-threonine/tyrosine-protein kinase, catalytic domain	27	61	3.96487190675145e-10	2.1838514462387e-06	5.82111118375989	blue	FALSE
GO:0006470: protein dephosphorylation	27	61	3.96487190675145e-10	2.35513391261036e-07	5.82111118375989	blue	FALSE
IPR000387: Tyrosine specific protein phosphatases domain	25	54	5.46801986185123e-10	3.01178533990766e-06	6.31360019362297	blue	FALSE
IPR029021: Protein-tyrosine phosphatase-like	27	65	2.23157027914296e-09	1.22914890975194e-05	5.20652034087752	blue	FALSE
GO:0016311: dephosphorylation	25	57	2.23799726801125e-09	1.32937037719868e-06	5.71983086483322	blue	FALSE
GO:0003676: nucleic acid binding	23	501	4.66062525051979e-09	3.55139644089608e-06	0.336772415768401	blue	FALSE
IPR020635: Tyrosine-protein kinase, catalytic domain	19	38	1.32829826048191e-08	7.31626681873436e-05	7.29780221696814	blue	FALSE
GO:0004713: protein tyrosine kinase activity	19	38	1.32829826048191e-08	1.01216327448722e-05	7.29780221696814	blue	FALSE
No GO terms for biological process	1134	8593	1.40383995164216e-08	8.33880931275443e-06	1.45609872422936	blue	FALSE
GO:0016791: phosphatase activity	25	62	1.80737109311389e-08	1.37721677295278e-05	4.94473709996604	blue	FALSE
IPR011705: BTB/Kelch-associated	15	26	3.68625240576989e-08	0.000203038782509806	9.93465573014679	blue	FALSE
IPR008266: Tyrosine-protein kinase, active site	19	42	1.03655386894735e-07	0.0005709338710162	6.02774930926866	blue	FALSE
IPR016130: Protein-tyrosine phosphatase, active site	19	43	1.64638151584511e-07	0.000906826938927487	5.77609229661207	blue	FALSE
IPR017441: Protein kinase, ATP binding site	48	187	3.55029974137693e-07	0.00195550509755041	2.54398454931341	blue	FALSE
IPR000980: SH2 domain	18	44	1.39530070938655e-06	0.00768531630730112	5.04685246358873	blue	FALSE
IPR004148: BAR domain	9	13	2.58057450369434e-06	0.0142138043663484	16.3298911946843	blue	FALSE
