agss_BmV18hpi_a	agss_BmV18hpi_b	agss_BmV4dpi_a	agss_BmV4dpi_b	agss_BmV8dpi_a	agss_BmV8dpi_b	polyAd_Bm1dpi_a	polyAd_Bm1dpi_b	polyAd_Bm2dpi_a	polyAd_Bm2dpi_b	polyAd_Bm3dpi_a	polyAd_Bm3dpi_b	polyAd_Bm4dpi_a	polyAd_Bm4dpi_b	polyAd_Bm8dpi_a	polyAd_Bm8dpi_b	polyAd_Bm20dpiM_a	polyAd_Bm20dpiM_b	agss_Bm24dpiF_a	polyAd_Bm24dpiF_a	polyAd_Bm24dpiF_b	polyAd_BmAM_a	polyAd_BmAM_b	agss_BmAF_b	agss_BmAF_c	polyAd_BmAF_a	polyAd_BmAF_b	polyAd_BmAF_c	polyAd_BmAF_d	polyAd_BmEm_a	polyAd_BmEm_b	polyAd_BmIMF_a	polyAd_BmIMF_b	polyAd_BmMMF_a	polyAd_BmMMF_b
gene0	2125.13	6035.54	560.87	1710.72	9149.77	9129.21	164.94	118.41	64.08	147.56	367.02	490.54	516.66	519.47	1278.51	855.41	548	519.77	167969.8	1031.93	1164.36	139.23	80.99	97907.27	90880.17	88.83	34.72	81.41	59.92	66.87	130.08	151.44	120.83	233.64	104.77
gene1	1269.8	2534.96	573.71	1771.75	8152.99	11571.87	500.68	406.26	311.15	251.74	472.25	511.06	490.08	511.78	992.97	750.83	411.69	268.75	94507.97	602.05	786.1	196.95	95.44	65060.47	43095.39	64.59	51.9	32.2	39.28	56.55	53.3	239.67	147.06	201.7	63.33
gene100	219.11	75.26	160.72	297.42	1538.16	2216.44	67.36	68.24	34.75	21.76	74.11	67.28	87.54	72.08	172.71	123.67	62.77	60.54	9686.77	82.12	89.64	27.79	17.29	10488.3	6467.95	15.37	5.37	14.81	8.34	2.02	18.07	33.34	12.73	40.55	17.26
gene1000	3679.46	4133.19	1224.84	2856.09	9849.51	14484.36	489.1	303.87	255.9	170.54	439.25	533.22	605.02	579.36	1634.75	1080.1	654.56	492.89	109610.44	820.08	939.53	107.25	67.62	64224.52	47235.46	58.17	23.7	103.7	36.98	45.63	50.66	287.08	149.24	205.72	147.69
gene1001	258	47.52	0	2	14	283.89	28.08	19.91	3.86	16.91	30.25	22.61	30.1	24.71	68.53	55.06	18.9	9.59	2612.43	13.17	40.42	0	0	1514.32	2206.2	0	2.02	0	0	0	4.03	10.15	5.71	5.37	6.58
gene1002	0	0	0	0	0	0	2.84	0	3.86	1.04	1.66	5.24	5.04	3.83	7.64	1.88	3.64	1.71	23.68	5.77	0	3.72	0	56.81	0	0	0	0	0.18	0	0	3.24	0	0.95	0
gene1004	0	0	0	0	0	0	28.15	23.63	9.63	9.59	10.76	20.61	31.79	16.47	78.23	41.86	9.03	25.53	0	35.26	38.54	4.42	9.74	0	0	5.78	0.13	5.27	2.49	0	1.6	12.53	8.94	4.8	5.14
gene1005	95.95	647.44	101.65	389.63	1985.77	3014.3	150.79	97.53	115.06	66.1	104.9	108.67	135.18	132.2	283.12	226.01	59.04	38.26	11155.29	98.09	141.8	9.65	8.08	5819.28	5206.83	2.02	8.08	4.48	0	4.01	14.07	45.8	18.8	43.71	16.5
gene1006	119.75	397.56	296.07	492.19	3445.61	5704.79	182.65	116.92	152.06	65.41	260.12	277.55	245.36	289.67	648.6	499.67	326.32	210.39	23602.43	485.9	542.73	116.06	65.26	16474.66	12690.64	40.14	61.93	39.62	76.39	16.16	17.17	38.57	48.92	46.48	31.91
gene1008	770.36	713.28	164.41	1435.09	2483.83	3123.65	147.85	124.2	69.15	47.3	99.6	91.5	108.95	149.81	289.39	227.67	109.59	62.68	20533.01	152.46	246.87	51.42	22.62	12992.98	6435	16.57	4.03	14.85	20.13	13.78	27.31	53.66	20.5	41.89	31.2
gene1009	463.42	1100.39	173.4	1040.44	2953.86	3590.45	301.49	177.11	197.96	105.99	180.44	305.51	293.91	296.87	881.79	655.57	194.87	193.99	35456.58	484.56	701.16	101.08	59.37	22639.77	15755.3	39.68	44.33	26.16	20.19	28.12	54.34	89.77	58.87	80.03	46.09
gene101	103.47	0	0	0	1.93	42.5	3.92	1.85	6.37	0	1.29	0.42	2.13	4.38	3.02	3.98	2.86	0.62	388.29	3.87	0.55	1.44	0	283.95	260.66	2.02	0	0	0	1.47	0	2.46	0	2.83	1.09
gene1012	1.89	1.75	6.41	0	176.62	58.02	0.91	0.78	0	0	0.25	0.15	4.97	0	0	0	0.05	1.32	327.2	6.27	6.28	0	0	352	314.97	0	0	0	0.46	0	0	1.66	1	0.19	0
gene1013	2.48	278.79	52.99	183.58	790.91	598.36	0	1.84	0	5.37	0.98	1.43	0.58	4.48	0.98	0	2.83	0.62	656.04	4.33	4.27	1.24	0	12280.21	5869.04	0	3.54	1.24	5.24	0.15	2.95	9.96	4.57	9.53	0
gene1014	1279.21	2159.85	740.04	1921.71	11917.23	13688.21	185.84	199.41	152.32	154.07	514.61	482.1	400.88	414.38	859.66	663.89	438.82	417.72	131721.16	858.33	1058.1	291.74	162.08	156969.45	157660.95	131.39	66.04	189.51	92.25	24.58	68.45	121.66	171.68	104.16	78.43
gene1015	4793.76	5331.52	1120.19	3011.01	10480.1	13622.21	530.16	468.02	348.88	212.87	489.75	530.63	558.04	446.13	1107.93	903.62	640.46	475.42	162958.42	966.11	928.01	286.06	152.53	129442.77	116801.05	122.05	49.99	137.65	81.93	62.54	83.08	282.34	200.73	321.54	109.71
gene1016	777.75	487.91	207.92	674.05	2289.03	2367.72	73.29	41.32	38.25	35.94	96.96	90.4	116.99	120.92	251.49	178.02	168.52	129.09	26699.7	190.23	257.51	82.12	27.94	18523.77	12205.34	37.17	22.21	25.87	30.17	14.07	12.5	79.27	43.61	103.97	31.55
gene1017	0	0	0	0	0	0	19.8	3.9	1.55	2	9.53	9.25	16.64	12.59	37.08	21.12	7.05	15.52	0	4.77	15.03	0	0	0	0	0	0	0	1.64	0	4.01	5.14	0.2	0.43	1.35
gene1018	0	0	0	0	0	0	3.33	0	1.26	0	2.02	0	0	0.67	0.06	0	0	0	2.46	0	0.14	0	0	6.12	8.58	0	0	0	0	0	0	0	0	0	0
gene1019	1962	585.38	56	370	2455.83	1683.02	81.77	60.41	37.56	49.18	86.11	74.74	87.56	66.65	209.25	171.38	72.59	40.52	13063.21	86.39	120.01	16.46	10.02	6807.3	6833.12	9.01	6.06	0	0	4.04	2.55	62.02	10.34	56.48	3.94
gene102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	5.64	0	0	0	0	0.74	1.79	0	0	0	0	0	0	0	0	0	0	0.38	0	0
gene1020	2	194.26	82	97.59	925.98	1430.72	57.65	79.3	25.49	56.75	42.32	47.72	82.26	57.12	127.05	109.52	25.76	15.38	3099.4	27.92	33.11	10.1	12.02	2908.81	2190.29	1.73	2.29	0	2.82	0	4.04	18	19.09	11.22	9
gene1021	0	219.68	64	86.04	346.62	137.79	44.61	42.5	16.66	10.75	19.76	40.26	9.45	24.27	66.02	46.55	10.52	10.05	2539.17	18.16	33.75	0	4	1626.52	2562.42	10.33	1.71	2.63	1.16	0	0	9.27	12.87	14.33	4.62
gene1023	3.55	31.03	63.34	281.8	886.67	1819.15	78.39	59.78	35.11	12	62.12	60.24	79.29	45.67	149.94	116.91	53.65	54.91	10089.66	95.97	127.3	14.14	14.92	4601.42	1985.13	3.95	2.02	14.37	2.02	4.04	14.14	31.54	12.82	30.45	6
gene1024	11.34	7.39	27.81	70.36	364.04	326	39.29	44.55	21.76	12	30.57	33.04	27.2	47.28	90.37	59.89	22.75	40.28	5365.83	71.92	103.76	19.07	6.73	3713.38	3938.54	3.22	5.34	6.06	2.02	2.02	8.07	40.59	14.89	22.63	8
gene1025	452.57	1150.1	132.53	1218.07	3114.79	2857.71	255.38	187.71	172.86	90.59	267.27	268.24	167.18	255.72	743.41	445.3	170.2	88.43	26592.86	188.52	472.15	47.77	39.7	22481.58	19653.28	22.38	12	41.87	12.18	14.09	26.07	119.74	50.95	65.04	50.93
