agss_BmV18hpi_a	agss_BmV18hpi_b	agss_BmV4dpi_a	agss_BmV4dpi_b	agss_BmV8dpi_a	agss_BmV8dpi_b	polyAd_Bm1dpi_a	polyAd_Bm1dpi_b	polyAd_Bm2dpi_a	polyAd_Bm2dpi_b	polyAd_Bm3dpi_a	polyAd_Bm3dpi_b	polyAd_Bm4dpi_a	polyAd_Bm4dpi_b	polyAd_Bm8dpi_a	polyAd_Bm8dpi_b	polyAd_Bm20dpiM_a	polyAd_Bm20dpiM_b	agss_Bm24dpiF_a	polyAd_Bm24dpiF_a	polyAd_Bm24dpiF_b	polyAd_BmAM_a	polyAd_BmAM_b	polyAd_BmAF_a	agss_BmAF_b	polyAd_BmAF_b	agss_BmAF_c	polyAd_BmAF_c	polyAd_BmAF_d	polyAd_BmEm_a	polyAd_BmEm_b	polyAd_BmIMF_a	polyAd_BmIMF_b	polyAd_BmMMF_a	polyAd_BmMMF_b	invert	module
gene1000	3731.74509487598	2916.35607075782	3117.43125421593	2337.66097963794	2040.47234629961	2477.72510691457	1700.63810398919	1443.4829193445	1472.36603423637	1607.56054396839	1585.45104001611	1696.55377073592	1849.50800570396	1801.19060010839	2137.26554666696	1839.50016411965	2162.61918640245	2226.00604221253	1834.93359608274	2018.56427633769	1789.2642935251	917.76353048722	1056.13068711521	1562.59518200642	1488.64978040025	845.497831661439	1405.97172552844	2152.7460796468	1154.60492623062	1866.90851209563	1216.27604062124	2156.31631197471	1811.23041145646	1889.23671455753	2754.88093658127	FALSE	blue
gene1029	909.881080209253	861.183726399571	623.145013425886	569.75487317989	435.692942273486	453.790674021805	526.451966326213	556.314399597204	841.977862647833	541.768730965496	439.10605486483	515.41730717179	435.168547152356	358.571608647727	588.317455775464	670.496444594443	614.389573748585	739.730908281014	531.080979383506	550.646948561694	527.298605156807	384.684556463054	480.53470694469	427.690157174031	387.518892977183	431.546676763093	373.922011621198	461.476786087191	223.8725054753	810.819720778998	374.782441049892	857.041997561395	522.805195851769	995.919390145208	931.667149766138	FALSE	blue
gene149	5260.75956978264	61.7257975722653	1524.56758950688	1642.85098200677	452.73350131046	520.834434294238	206.366034166665	223.107979373965	134.004743759008	261.09321630861	202.986460700981	344.127162753284	284.787644739473	200.128316377247	261.15372316822	276.457332733623	226.944435991124	150.336612226203	363.943565982707	331.099764725591	268.940234417548	140.774133951698	215.06311029302	243.540456465541	270.766107191218	327.488700685442	178.583826021777	9.90567667314173	151.820730084222	181.283376411945	117.834244124932	623.120682524238	477.073581045536	709.896399338962	276.767905710653	FALSE	blue
gene150	1907.6841330331	2354.4036831002	2029.78677629036	1051.22014516109	1154.83129427893	766.241208506762	542.271433621183	377.225343707583	611.757912698015	445.892757165656	549.259108097664	360.324631418426	702.033933121542	676.732897366275	690.436051648153	673.498858334915	855.017740759208	855.011016836433	875.1575135852	1055.62558226037	963.076712790892	577.157345387045	660.812449248328	691.714973926797	685.053383623688	220.7788993385	756.373845323091	801.67611213452	287.922123839236	1242.81740855622	881.917969449397	1438.35581181123	1338.17326870134	1215.02391873068	1566.40052904224	FALSE	blue
gene235	900.663023243353	989.424201574562	1055.50997708128	1214.45265110318	730.694206077928	615.562183297052	558.326488051118	669.735911153512	614.926224994087	389.437965887643	382.849919849796	492.707914730026	469.872338793499	427.157487052811	495.203828281837	546.271604673235	368.602480585106	389.704477287329	374.182344991885	411.912798075111	472.307503540465	257.392988547825	246.267384084434	228.364117348706	278.000701416925	402.591599023133	282.626367614564	179.591325771844	315.126259733458	654.167963210242	626.529954218661	466.495421205126	363.836644443528	490.910563972177	546.155215585786	FALSE	blue
gene236	1813.59817861664	1867.71018158068	490.641965466754	610.807385156682	1300.03731208136	2012.97855664854	301.132329705285	330.426343542876	534.501336457556	461.024983104288	438.750137560926	732.379933376796	461.294781606998	597.45207801404	524.292202417356	531.968041587151	529.0885067179	474.831044071858	455.133593261649	512.724349803164	322.403281653504	336.774499644135	186.726539020597	155.197977410083	336.840820861637	412.223539324333	403.374258693965	145.467979116067	0	369.782981901074	138.709308352193	390.347793259778	707.077081636914	359.584182741347	244.879088122749	FALSE	blue
gene241	1476.92818182265	478.505691713332	372.392859254066	140.005901454472	269.904661896364	316.47985508275	151.055278967502	107.471007142257	103.831822064153	88.6665999066347	186.809159682439	182.850038978296	136.317516408307	179.208826281404	163.624012167966	118.534039453584	84.2782531142168	95.8813174428698	110.71904936332	79.0114044432133	91.0674233452817	23.7898441848028	21.982600711382	113.424075483689	130.428545094747	50.2112147558599	207.104094751808	175.308057354798	43.944353085245	115.169939568223	165.610309034189	108.229405242326	101.474031280673	19.1962467034142	183.385065110033	FALSE	blue
gene258	2078.4274161904	1139.10227514478	665.765022028221	582.82461873017	747.545421166979	932.571073705293	1089.35724754963	919.266159431364	908.123227394923	624.962601468604	1049.5828030926	731.682791275534	1095.28253125964	912.238193892655	927.549388432124	880.509751274303	573.82781094553	552.151045726459	477.154606432853	559.88698277558	449.634609713311	643.154730545093	382.942203350358	389.972722739131	455.137070151722	605.55562932433	356.937823804529	514.985179488575	373.171854964124	712.814711382224	447.083108230197	818.064021794192	894.969730818179	579.402982278729	772.348383784457	FALSE	blue
gene304	9752.87440531347	3205.499433958	2851.1289697239	3737.32908046597	2796.89698658233	2423.849269669	2861.07920179041	2374.06307022424	2728.26341856223	2648.87656033545	2992.89061455899	2978.59290925084	3881.96976273269	2980.45027614261	2819.03067948449	2917.88775885724	3088.41742996039	3052.86365322922	4417.42680683419	3582.17640013447	3946.85728508713	890.710889613792	1544.84428758035	2416.08528998235	3419.4404548326	1345.32441534191	3975.75731431637	1825.8641773403	1672.9829572515	2307.42905925607	3184.58756102167	5623.31972487178	4144.06600070312	4205.75969803992	3815.96515655629	FALSE	blue
gene313	3727.34517972117	3174.33216650484	2391.1134952129	2476.07565949484	2407.94520635604	1979.65180761838	1895.85788533317	1704.94480986547	2053.90178622533	1806.92650332836	1500.42223513188	1731.40504479551	1644.69600773488	1771.55958855798	1973.08876123511	1731.18031255763	1176.86520140467	1407.26423752614	943.752401403792	1176.16538045116	2247.96394287368	2156.30782205701	1380.61280460062	2075.12354566772	988.800871279945	2294.46323500039	1197.38451229774	1358.12524331201	1607.3022431844	1765.74717284362	1613.84454480629	1344.93366962994	1470.22180384966	1397.30518512091	2041.04014314573	FALSE	blue
gene332	1753.87963107981	1137.55014173066	825.945695348981	884.017232198114	1145.39714370984	1517.59318209155	171.340274497683	395.365426228996	240.712370746419	300.415774104459	167.769532579365	280.019237323898	170.596418983666	115.741964302569	329.91885038779	217.969052030573	230.25124785512	157.006837342041	190.296021315066	154.040634598401	209.836415102162	545.543107967812	538.940509302234	334.236607976533	314.941837741552	266.331172244185	342.196350117844	187.969165785521	382.329763352508	200.100557281397	484.764874801113	437.216524674594	471.558279530559	571.668659695891	228.64412587307	FALSE	blue
gene336	747.930418632191	291.898907145643	350.309416311603	249.629476036904	348.642216544276	387.54659500749	206.656682893191	213.030113926854	174.266785550818	294.864636471607	259.941222540634	275.591465622527	238.92917071434	253.581222917448	219.180995615707	216.972767092636	209.478360399238	181.040838649264	281.049325465763	229.919579465424	182.165102289096	370.836481499637	480.444547453342	310.171926541242	396.392141507115	224.166985878005	318.608852251059	322.820618375455	270.781920796737	355.314351237768	396.16038098089	248.703560912028	303.710676159362	394.279161974658	247.983213664423	FALSE	blue
gene342	3987.15205698955	3760.16580172961	3465.38970298792	4006.94084290231	2549.3823258363	2449.95146730523	2017.10282401766	1927.12292609061	1361.97767796865	1523.40886984633	1736.64504046932	1946.78781200885	1539.75176544254	1320.78776960903	1372.41043624958	1562.91069692274	1802.63127764959	1330.58135879916	2107.08218089882	1741.58583008205	1243.50156899011	1240.30412131446	941.989448533292	1561.50611201105	1454.77862808826	1014.72895444446	1268.6493282295	900.811861326362	936.279645865759	1184.0741675737	1436.93024379391	3097.93838436896	2220.02251566641	3085.92157891898	1615.85317770672	FALSE	blue
gene35	570.781155787719	475.2830298703	145.73667876327	232.657872044293	520.001222796682	365.74240353073	117.680784031871	157.082265303789	111.014759183377	51.4689908769146	89.0187896746849	151.701519320032	200.014698148671	139.966198254168	128.186938136393	160.48766101804	170.230848769988	105.425473427023	151.127932271765	97.148697859519	152.705260375878	189.082605747692	147.722804718597	221.933107696418	154.254756846218	73.6849576542244	117.224853322414	133.302106087136	64.488338152597	59.4051679626836	198.354310943635	199.224533747067	173.731997721785	301.987674639432	217.620951281983	FALSE	blue
gene361	3889.41897854847	1700.49788368335	638.01771808805	616.371481697292	1007.39466956395	761.445895641255	215.765307174701	148.954529045027	75.9114205401146	194.42597335003	179.056678530367	278.594679198342	334.955979638897	194.698010216822	293.954978081878	274.467515027912	514.876874457896	450.960182397349	477.27542098325	386.559696981829	310.140094375682	394.022059118058	693.751968687163	346.142875306348	400.947950605351	158.462274525214	331.200995517295	492.088454085105	277.369196355256	262.703453658998	310.423546350627	625.482552209105	809.414975560942	900.244111126214	678.008222308517	FALSE	blue
gene388	1048.0518605961	1327.39945269961	570.454999730515	1352.07323860055	638.794794721169	426.757143821701	318.84606779065	358.363185494842	243.009498488212	157.361433545562	239.576747383184	155.468047477444	200.454212380883	242.010274055884	141.38564132755	178.973537788507	249.578055472359	238.997202580682	514.753428401807	179.443106081218	262.413111845167	212.70877991732	398.142698828986	77.1317327213253	321.83737864349	217.972879381258	396.060544529988	70.0039657600453	197.022362672715	551.192532864452	161.9218864846	452.160350379636	481.181917888325	401.209130130669	450.274403840165	FALSE	blue
gene392	5305.4691681121	1290.89849579679	3205.89148543532	2469.91666384759	3081.31184935124	3607.86485798985	1586.91831591674	1726.57728014801	1136.55038901875	1079.9667498949	1325.41770967464	1503.77523580219	1103.3595286168	1504.67106912649	1386.39595583952	1685.63547369248	1098.40752131102	1119.59028895383	1289.92107217822	938.570211444798	1121.34682864409	1092.60808234836	649.254430173529	1165.93120785007	952.601737986651	1070.89689432062	1187.96197536169	587.136471898946	296.418043953731	1439.11111120867	1152.157053666	2084.91981860205	1389.2543125181	2267.98070438162	1784.75419636885	FALSE	blue
gene402	5412.63458999927	1083.01432391241	2301.94996055651	3194.73597821275	2319.56290409134	2110.10404721415	846.752723174271	1049.90049107007	695.483995572616	1352.3210608992	1169.07037215764	1512.76517761312	1204.65571905441	1384.04901230659	1417.6341723966	1423.02537804445	886.267773675933	960.159460133681	1612.93508113618	1102.97003523421	2255.21665014817	885.231863549943	1044.05361861365	1911.84098576847	1421.81765055425	1920.07469904304	1366.09471411712	1445.56180604046	2229.45746202016	2079.47398753379	3281.09577855304	1242.53008097459	2142.64194460516	696.905675622417	1108.89656704195	FALSE	blue
gene409	9857.0652853218	5255.92519423998	8706.68629770486	7001.11655760596	5216.8284200557	7168.02447527655	2812.58616706852	3062.42691298316	3257.03678991176	4756.99902253668	3547.49305452857	3306.21522042882	3888.51120833575	3450.82694490262	3083.95046841417	3360.70982368015	1519.07258773504	1342.31261714289	2619.60135073719	1279.77192653927	1881.94887879325	948.937701656058	1519.26237917627	2218.08728969893	1833.52800791333	426.720285313088	2337.17110099713	1699.71799733747	752.946223526493	1785.47023560444	2359.46399202989	3699.8303746164	3908.7358085815	4072.85076070781	4054.23517461152	FALSE	blue
gene438	1092.68452836927	250.946212603224	42.5974947061075	1.71232495202703	290.139952999873	382.209616781031	348.875091502526	195.82891103073	310.256382593683	314.147350850791	322.512968576198	236.467702102546	208.455815663522	243.12353833341	211.154813187841	195.375570384081	171.799107470296	237.577067848089	163.74915834622	99.7968151023668	182.754941904182	154.765814982293	178.243539031439	170.281156800321	236.068217601	376.905154241557	243.981967521927	43.864377522279	0	86.451092744945	101.20886697005	125.947515157564	50.7802697031157	361.581353890019	324.286831473855	FALSE	blue
